niche,sub_service,specific_service,calls,paid_pct,booked_pct,urgent_pct
pool services,spa & hot tub,jacuzzi / hot tub repair,2,0,0,0
pool services,spa & hot tub,jacuzzi repair,2,0,0,0
painting,painting,painting estimate,40,78,30,20
painting,painting,shelf painting,3,100,0,100
painting,painting,latex mask painting,3,100,0,0
painting,painting,lead paint removal,3,100,0,0
painting,painting,house numbers painted on curb,1,100,0,0
painting,interior painting,interior painting,23,78,39,13
painting,interior painting,cabinet painting,3,100,100,0
painting,interior painting,exterior trim painting,2,0,0,0
painting,exterior painting,exterior / stucco painting,16,75,19,0
painting,exterior painting,exterior house painting,3,100,0,0
painting,exterior painting,deck painting,3,100,100,0
electrical,outlets & switches,outlet / switch repair,17,100,47,35
electrical,outlets & switches,outlet repair,9,100,11,67
electrical,outlets & switches,"outlet/circuit repair (gfci, lost power)",3,100,100,0
electrical,outlets & switches,ev charger outlet troubleshooting (grounding),2,100,100,0
electrical,outlets & switches,three-way switch repair (laundry room light),2,100,100,0
electrical,outlets & switches,outlet & ceiling light installation,1,100,0,0
electrical,electrical,electrical estimate,20,75,45,20
electrical,electrical,ev charger repair,4,100,50,0
electrical,electrical,time clock installation,1,100,0,0
electrical,wiring,new circuit / rewiring,13,69,85,8
electrical,wiring,range wiring,5,100,60,0
electrical,wiring,garage wiring,3,100,100,0
electrical,wiring,dead circuit repair,2,0,100,0
electrical,wiring,water heater wiring,1,0,0,0
electrical,wiring,rewiring service,1,0,0,100
electrical,lighting,lighting install / repair,10,80,60,0
electrical,lighting,recessed lighting repair (dim lights),2,0,0,0
electrical,lighting,outdoor lighting timer replacement,1,100,100,0
electrical,panel & power,panel / breaker repair,4,50,0,0
electrical,panel & power,partial power loss,3,100,0,100
electrical,panel & power,partial power outage,3,100,0,100
electrical,panel & power,electrical panel inspection,2,0,0,0
window repair,window repair,window repair estimate,24,46,12,12
window repair,window repair,wasp removal,3,0,0,0
window repair,window repair,mold remediation,3,0,0,0
window repair,window repair,ice dam removal,3,0,0,100
window repair,replacement,window replacement,22,50,14,0
window repair,glass,window glass / pane repair,10,20,0,0
window repair,glass,broken window glass replacement,2,100,0,0
window repair,glass,glass block window installation,1,0,0,0
window repair,frame,window sill / frame repair,9,0,0,33
window repair,hardware,window crank / hardware repair,4,75,0,0
water damage,mold,mold remediation,11,73,45,0
water damage,mold,mold treatment,10,50,0,0
water damage,mold,mold testing / inspection,9,44,22,0
water damage,mold,mold inspection / salvageability question,2,0,0,0
water damage,mold,mold & bird-dropping cleanup,2,100,0,0
water damage,mold,mold removal from closet,1,0,0,0
water damage,water damage,ceiling water damage,14,86,79,64
water damage,water damage,water damage restoration,3,100,0,100
water damage,water damage,roof/ceiling water leak,2,100,100,100
water damage,water damage,"emergency water extraction (bathroom leak, collapsed ceiling)",2,100,100,100
water damage,restoration,restoration estimate,12,83,42,25
carpet & rug cleaning,rug cleaning,area / oriental rug cleaning,11,27,0,0
carpet & rug cleaning,rug cleaning,rug cleaning,5,0,0,0
carpet & rug cleaning,cleaning,cleaning estimate,11,27,0,0
carpet & rug cleaning,cleaning,leak detection,3,100,0,100
carpet & rug cleaning,carpet cleaning,carpet cleaning,5,100,0,60
carpet & rug cleaning,carpet cleaning,"carpet stretching, seaming & new install",2,100,0,0
garage door,garage door,garage door repair,21,57,76,48
garage door,garage door,appliance repair,2,100,0,100
garage door,repair,off-track / won't open,5,100,100,100
garage door,repair,garage door won't open,2,100,100,100
garage door,spring & cable,garage door spring / cable,2,0,100,100
remodeling,bathroom,bathroom remodel,8,100,25,0
remodeling,bathroom,tub resurfacing,3,100,0,0
remodeling,remodeling,remodel estimate,10,100,50,0
remodeling,remodeling,exterior remodeling,2,100,0,0
remodeling,whole home,whole-home renovation,5,100,100,0
cleaning services,sanitizing,rodent droppings / biohazard cleanup,5,40,0,0
cleaning services,sanitizing,post-pest-control sanitization/cleaning,2,100,0,0
cleaning services,cleaning,cleaning estimate,7,57,0,0
cleaning services,house cleaning,house / maid cleaning,2,100,0,0
cleaning services,house cleaning,house cleaning,2,100,0,0
handyman & structural,handyman,attic humidity/ventilation problem,2,0,0,0
handyman & structural,handyman,aluminum fence repair (bent bars),2,100,100,0
handyman & structural,handyman,concrete dumpster rental,2,0,0,0
handyman & structural,handyman,awning replacement,1,0,0,0
handyman & structural,handyman,wood fence repair,1,0,0,0
handyman & structural,small repairs,caulking / sealing,3,0,0,0
handyman & structural,small repairs,caulking repair,3,0,0,0
handyman & structural,structural,floor joist / structural repair,2,0,0,0
carpentry & decks,decks,deck leak / waterproofing,3,0,0,0
electronics repair,tv repair,TV / LED panel repair,1,0,0,0
electronics repair,tv repair,tv led repair,1,0,0,0
